Id,Label,POS_Category,Total_Frequency
bout,bout,NOUN,31
camarade,camarade,NOUN,31
corps,corps,NOUN,31
espagnol,espagnol,PROPN,31
face,face,NOUN,31
facile,facile,ADJ,31
fameux,fameux,ADJ,31
gentilhomme,gentilhomme,NOUN,31
imprimer,imprimer,VERB,31
malheureux,malheureux,ADJ,31
nécessité,nécessité,NOUN,31
rare,rare,ADJ,31
reprit,reprit,VERB,31
réponse,réponse,NOUN,31
soleil,soleil,NOUN,31
vue,vue,NOUN,31
Flicoteaux,Flicoteaux,PROPN,30
Francis,Francis,PROPN,30
Napoléon,Napoléon,PROPN,30
attaquer,attaquer,VERB,30
cavalier,cavalier,NOUN,30
destinée,destinée,NOUN,30
début,début,NOUN,30
découverte,découverte,NOUN,30
envie,envie,NOUN,30
grave,grave,ADJ,30
journalisme,journalisme,NOUN,30
jugement,jugement,NOUN,30
matière,matière,NOUN,30
mener,mener,VERB,30
mœur,mœur,NOUN,30
papeterie,papeterie,NOUN,30
robe,robe,NOUN,30
sauver,sauver,VERB,30
siècle,siècle,NOUN,30
vanité,vanité,NOUN,30
voie,voie,NOUN,30
abandonner,abandonner,VERB,29
amour-propre,amour-propre,NOUN,29
appartement,appartement,NOUN,29
bleu,bleu,ADJ,29
bureau,bureau,NOUN,29
colonne,colonne,NOUN,29
condition,condition,NOUN,29
connaissance,connaissance,NOUN,29
curiosité,curiosité,NOUN,29
endroit,endroit,NOUN,29
exemplaire,exemplaire,NOUN,29
fendant,fendant,PROPN,29
fier,fier,ADJ,29
forcer,forcer,VERB,29
gouvernement,gouvernement,NOUN,29
habiller,habiller,VERB,29
ligne,ligne,NOUN,29
lumière,lumière,NOUN,29
marché,marché,NOUN,29
posséder,posséder,VERB,29
propre,propre,ADJ,29
remarquer,remarquer,VERB,29
secrétaire,secrétaire,NOUN,29
sujet,sujet,NOUN,29
écus,écus,NOUN,29
Amélie,Amélie,PROPN,28
Chandour,Chandour,PROPN,28
Daniel,Daniel,PROPN,28
Louis,Louis,PROPN,28
battre,battre,VERB,28
bonhomme,bonhomme,NOUN,28
boudoir,boudoir,NOUN,28
dévouement,dévouement,NOUN,28
gilet,gilet,NOUN,28
ignorer,ignorer,VERB,28
illustre,illustre,ADJ,28
lancer,lancer,VERB,28
meuble,meuble,NOUN,28
mode,mode,NOUN,28
mêler,mêler,VERB,28
plaire,plaire,VERB,28
prison,prison,NOUN,28
propriétaire,propriétaire,NOUN,28
retour,retour,NOUN,28
rival,rival,NOUN,28
soin,soin,NOUN,28
sublime,sublime,ADJ,28
éclairer,éclairer,VERB,28
élégant,élégant,ADJ,28
Bruel,Bruel,PROPN,27
Tribunal,Tribunal,PROPN,27
abbé,abbé,NOUN,27
ambitieux,ambitieux,NOUN,27
beau-frère,beau-frère,NOUN,27
campagne,campagne,NOUN,27
conscience,conscience,NOUN,27
conseil,conseil,NOUN,27
déjeuner,déjeuner,NOUN,27
empire,empire,NOUN,27
habile,habile,ADJ,27
huissier,huissier,NOUN,27
inventeur,inventeur,NOUN,27
marcher,marcher,VERB,27
mise,mise,NOUN,27
moitié,moitié,NOUN,27
moral,moral,ADJ,27
pain,pain,NOUN,27
pantalon,pantalon,NOUN,27
pardonner,pardonner,VERB,27
profiter,profiter,VERB,27
proie,proie,NOUN,27
publier,publier,VERB,27
rapporter,rapporter,VERB,27
sérieux,sérieux,ADJ,27
terre,terre,NOUN,27
vérité,vérité,NOUN,27
Ours,Ours,PROPN,26
Zéphirine,Zéphirine,PROPN,26
adorer,adorer,VERB,26
aider,aider,VERB,26
chanter,chanter,VERB,26
conduite,conduite,NOUN,26
disposer,disposer,VERB,26
existence,existence,NOUN,26
foi,foi,NOUN,26
haine,haine,NOUN,26
influence,influence,NOUN,26
jeunesse,jeunesse,NOUN,26
juge,juge,NOUN,26
langue,langue,NOUN,26
misérable,misérable,ADJ,26
naître,naître,VERB,26
partager,partager,VERB,26
prêter,prêter,VERB,26
rente,rente,NOUN,26
retourner,retourner,VERB,26
ruiner,ruiner,VERB,26
songer,songer,VERB,26
vente,vente,NOUN,26
vigneron,vigneron,NOUN,26
élever,élever,VERB,26
Basine,Basine,PROPN,25
accorder,accorder,VERB,25
achever,achever,VERB,25
adresser,adresser,VERB,25
amoureux,amoureux,ADJ,25
attacher,attacher,VERB,25
baiser,baiser,VERB,25
chiffon,chiffon,NOUN,25
collége,collége,NOUN,25
diplomate,diplomate,NOUN,25
double,double,ADJ,25
exiger,exiger,VERB,25
habitude,habitude,NOUN,25
jouissance,jouissance,NOUN,25
lèvre,lèvre,NOUN,25
léger,léger,ADJ,25
plan,plan,NOUN,25
réveiller,réveiller,VERB,25
social,social,ADJ,25
souffrance,souffrance,NOUN,25
trésor,trésor,NOUN,25
veille,veille,NOUN,25
étranger,étranger,ADJ,25
étude,étude,NOUN,25
Bianchon,Bianchon,PROPN,24
Félicien,Félicien,PROPN,24
Mûrier,Mûrier,PROPN,24
accuser,accuser,VERB,24
briller,briller,VERB,24
bruit,bruit,NOUN,24
charge,charge,NOUN,24
condamner,condamner,VERB,24
conserver,conserver,VERB,24
convenir,convenir,VERB,24
craindre,craindre,VERB,24
créature,créature,NOUN,24
discussion,discussion,NOUN,24
défaut,défaut,NOUN,24
délicieux,délicieux,ADJ,24
fatal,fatal,ADJ,24
fer,fer,NOUN,24
futur,futur,ADJ,24
jouir,jouir,VERB,24
lecture,lecture,NOUN,24
mobilier,mobilier,NOUN,24
musique,musique,NOUN,24
naturel,naturel,ADJ,24
observer,observer,VERB,24
plaindre,plaindre,VERB,24
prince,prince,NOUN,24
remplacer,remplacer,VERB,24
représenter,représenter,VERB,24
reste,reste,NOUN,24
royal,royal,ADJ,24
réaliser,réaliser,VERB,24
sens,sens,NOUN,24
suicide,suicide,NOUN,24
surprendre,surprendre,VERB,24
voisin,voisin,NOUN,24
épreuve,épreuve,NOUN,24
étrange,étrange,ADJ,24
Braulard,Braulard,PROPN,23
action,action,NOUN,23
blesser,blesser,VERB,23
cheminée,cheminée,NOUN,23
cœurs,cœurs,NOUN,23
dignité,dignité,NOUN,23
diriger,diriger,VERB,23
espérer,espérer,VERB,23
faux,faux,ADJ,23
honnête,honnête,ADJ,23
impression,impression,NOUN,23
instant,instant,NOUN,23
invention,invention,NOUN,23
maladie,maladie,NOUN,23
métier,métier,NOUN,23
nouvelle,nouvelle,NOUN,23
opposer,opposer,VERB,23
oser,oser,VERB,23
palais,palais,NOUN,23
parvenir,parvenir,VERB,23
poche,poche,NOUN,23
poursuivre,poursuivre,VERB,23
promesse,promesse,NOUN,23
propos,propos,NOUN,23
